frame_index,bytes,off_18,off_60,off_72,off_58,off_44,off_30
0,44,0,,,,,2560
1,44,19279,,,,,12336
2,44,19279,,,,,12336
3,92,31744,-18944,2048,1536,1024,512
4,92,31744,-18944,2048,1536,1024,512
5,92,-26112,-6912,4608,4096,3584,3072
6,92,-26112,-6912,4608,4096,3584,3072
7,92,-19968,-4864,7168,6656,6144,5632
8,92,-19968,-4864,7168,6656,6144,5632
9,92,-2816,-10496,9728,9216,8704,8192
10,92,-2816,-10496,9728,9216,8704,8192
11,92,-10752,32256,12288,11776,11264,10752
12,92,-10752,32256,12288,11776,11264,10752
13,92,-24320,-28672,14848,14336,13824,13312
14,92,-24320,-28672,14848,14336,13824,13312
15,92,-2304,6400,17408,16896,16384,15872
16,92,-2304,6400,17408,16896,16384,15872
17,92,-8960,-15616,19968,19456,18944,18432
18,92,-8960,-15616,19968,19456,18944,18432
19,92,-23040,12032,22528,22016,21504,20992
20,92,-23040,12032,22528,22016,21504,20992
21,92,-8448,4608,25088,24576,24064,23552
22,92,-8448,4608,25088,24576,24064,23552
23,92,-7680,10496,27648,27136,26624,26112
24,92,-7680,10496,27648,27136,26624,26112
25,92,-25088,-1280,30208,29696,29184,28672
26,92,-25088,-1280,30208,29696,29184,28672
27,92,31744,-1792,-32768,32256,31744,31232
28,92,31744,-1792,-32768,32256,31744,31232
29,92,-28416,-16896,-30208,-30720,-31232,-31744
30,92,-28416,-16896,-30208,-30720,-31232,-31744
31,92,7936,-2560,-27648,-28160,-28672,-29184
32,92,7936,-2560,-27648,-28160,-28672,-29184
33,92,-22528,-31232,-25088,-25600,-26112,-26624
34,92,-22528,-31232,-25088,-25600,-26112,-26624
35,92,25856,-16384,-22528,-23040,-23552,-24064
36,92,25856,-16384,-22528,-23040,-23552,-24064
37,92,-28416,-29440,-19968,-20480,-20992,-21504
38,92,-28416,-29440,-19968,-20480,-20992,-21504
39,92,31744,-29952,-17408,-17920,-18432,-18944
40,92,31744,-29952,-17408,-17920,-18432,-18944
41,92,12288,25088,-14848,-15360,-15872,-16384
42,92,12288,25088,-14848,-15360,-15872,-16384
43,92,-2816,16384,-12288,-12800,-13312,-13824
44,92,-2816,16384,-12288,-12800,-13312,-13824
45,92,10240,-512,-9728,-10240,-10752,-11264
46,92,10240,-512,-9728,-10240,-10752,-11264
47,92,11264,3072,-7168,-7680,-8192,-8704
48,92,11264,3072,-7168,-7680,-8192,-8704
49,92,16896,-18432,-4608,-5120,-5632,-6144
50,92,16896,-18432,-4608,-5120,-5632,-6144
51,92,-3072,22528,-2048,-2560,-3072,-3584
52,92,-3072,22528,-2048,-2560,-3072,-3584
53,92,16384,-5375,512,0,-512,-1024
54,92,16384,-5375,512,0,-512,-1024
55,92,-18431,8961,3072,2560,2048,1536
56,92,-18431,8961,3072,2560,2048,1536
57,92,8193,-7935,5632,5120,4608,4096
58,92,8193,-7935,5632,5120,4608,4096
59,92,-3327,-31487,8192,7680,7168,6656
60,92,-3327,-31487,8192,7680,7168,6656
61,92,-14847,17153,10752,10240,9728,9216
62,92,-14847,17153,10752,10240,9728,9216
63,92,15105,257,13312,12800,12288,11776
64,92,15105,257,13312,12800,12288,11776
65,92,3329,15617,15872,15360,14848,14336
66,92,3329,15617,15872,15360,14848,14336
67,92,10753,-28927,18432,17920,17408,16896
68,92,10753,-28927,18432,17920,17408,16896
69,92,-24063,30465,20992,20480,19968,19456
70,92,-24063,30465,20992,20480,19968,19456
71,92,-10751,18689,23552,23040,22528,22016
72,92,-10751,18689,23552,23040,22528,22016
73,92,5121,17153,26112,25600,25088,24576
74,92,5121,17153,26112,25600,25088,24576
75,92,3841,-6911,28672,28160,27648,27136
76,92,3841,-6911,28672,28160,27648,27136
77,92,3841,22273,31232,30720,30208,29696
78,92,3841,22273,31232,30720,30208,29696
79,92,-15615,-28927,-31744,-32256,-32768,32256
80,92,-15615,-28927,-31744,-32256,-32768,32256
81,92,-23807,-16127,-29184,-29696,-30208,-30720
82,92,-23807,-16127,-29184,-29696,-30208,-30720
83,92,29697,2561,-26624,-27136,-27648,-28160
84,92,29697,2561,-26624,-27136,-27648,-28160
85,92,-13311,24321,-24064,-24576,-25088,-25600
86,92,-13311,24321,-24064,-24576,-25088,-25600
87,92,-4351,6401,-21504,-22016,-22528,-23040
88,92,-4351,6401,-21504,-22016,-22528,-23040
89,92,4609,-4351,-18944,-19456,-19968,-20480
90,92,4609,-4351,-18944,-19456,-19968,-20480
91,92,-8703,-11007,-16384,-16896,-17408,-17920
92,92,-8703,-11007,-16384,-16896,-17408,-17920
93,92,-3071,21505,-13824,-14336,-14848,-15360
94,92,-3071,21505,-13824,-14336,-14848,-15360
95,92,-27903,17921,-11264,-11776,-12288,-12800
96,92,-27903,17921,-11264,-11776,-12288,-12800
97,92,5889,15617,-8704,-9216,-9728,-10240
98,92,5889,15617,-8704,-9216,-9728,-10240
99,92,19201,20481,-6144,-6656,-7168,-7680
100,92,19201,20481,-6144,-6656,-7168,-7680
101,92,23297,25857,-3584,-4096,-4608,-5120
102,92,23297,25857,-3584,-4096,-4608,-5120
103,92,-19967,19713,-1024,-1536,-2048,-2560
104,92,-19967,19713,-1024,-1536,-2048,-2560
105,92,-25599,-13566,1536,1024,512,0
106,92,-25599,-13566,1536,1024,512,0
107,92,514,-27646,4096,3584,3072,2560
108,92,514,-27646,4096,3584,3072,2560
109,92,26882,-6910,6656,6144,5632,5120
110,92,26882,-6910,6656,6144,5632,5120
111,92,22786,-766,9216,8704,8192,7680
112,92,22786,-766,9216,8704,8192,7680
113,92,-766,26114,11776,11264,10752,10240
114,92,-766,26114,11776,11264,10752,10240
115,92,31746,-31998,14336,13824,13312,12800
116,92,31746,-31998,14336,13824,13312,12800
117,92,30722,-5118,16896,16384,15872,15360
